Order ID,Order Date,Year,Month Number,Month Name,order_time,Order Period,Pizza ID,pizza_name,pizza_name_id,pizza_category,pizza_size,Size Order,Unit  Price,Quantity,Total Revenue,pizza_ingredients
11,01-01-2015,2015,1,January,31-12-1899 13:02:59,Afternoon,26,The Barbecue Chicken Pizza,bbq_ckn_l,Chicken,Large,3,20.75,1,20.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
12,01-01-2015,2015,1,January,31-12-1899 13:04:41,Afternoon,30,The California Chicken Pizza,cali_ckn_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
13,01-01-2015,2015,1,January,31-12-1899 13:11:55,Afternoon,34,The Mexicana Pizza,mexicana_l,Veggie,Large,3,20.25,1,20.25,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
14,01-01-2015,2015,1,January,31-12-1899 13:14:19,Afternoon,35,The Greek Pizza,the_greek_s,Classic,Small,1,12,1,12,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
15,01-01-2015,2015,1,January,31-12-1899 13:33:00,Afternoon,36,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
16,01-01-2015,2015,1,January,31-12-1899 13:34:07,Afternoon,40,The Four Cheese Pizza,four_cheese_l,Veggie,Large,3,17.95,1,17.95,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
17,01-01-2015,2015,1,January,31-12-1899 13:53:00,Afternoon,43,The Barbecue Chicken Pizza,bbq_ckn_l,Chicken,Large,3,20.75,1,20.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
18,01-01-2015,2015,1,January,31-12-1899 13:57:08,Afternoon,53,The Napolitana Pizza,napolitana_l,Classic,Large,3,20.5,1,20.5,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
19,01-01-2015,2015,1,January,31-12-1899 13:59:09,Afternoon,54,The Italian Capocollo Pizza,ital_cpcllo_l,Classic,Large,3,20.5,1,20.5,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
20,01-01-2015,2015,1,January,31-12-1899 14:03:08,Afternoon,56,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
21,01-01-2015,2015,1,January,31-12-1899 14:14:29,Afternoon,58,The Italian Capocollo Pizza,ital_cpcllo_l,Classic,Large,3,20.5,1,20.5,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
22,01-01-2015,2015,1,January,31-12-1899 14:16:26,Afternoon,59,The Five Cheese Pizza,five_cheese_l,Veggie,Large,3,18.5,1,18.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
23,01-01-2015,2015,1,January,31-12-1899 14:19:03,Afternoon,62,The Southwest Chicken Pizza,southw_ckn_s,Chicken,Small,1,12.75,1,12.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
24,01-01-2015,2015,1,January,31-12-1899 14:23:01,Afternoon,63,The Barbecue Chicken Pizza,bbq_ckn_m,Chicken,Medium,2,16.75,1,16.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
25,01-01-2015,2015,1,January,31-12-1899 14:44:44,Afternoon,67,The Sicilian Pizza,sicilian_m,Supreme,Medium,2,16.25,1,16.25,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
26,01-01-2015,2015,1,January,31-12-1899 14:54:26,Afternoon,69,The Classic Deluxe Pizza,classic_dlx_s,Classic,Small,1,12,1,12,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
27,01-01-2015,2015,1,January,31-12-1899 15:11:17,Afternoon,71,The Barbecue Chicken Pizza,bbq_ckn_l,Chicken,Large,3,20.75,1,20.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
28,01-01-2015,2015,1,January,31-12-1899 15:35:46,Afternoon,74,The Chicken Alfredo Pizza,ckn_alfredo_s,Chicken,Small,1,12.75,1,12.75,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
29,01-01-2015,2015,1,January,31-12-1899 15:41:01,Afternoon,75,The Green Garden Pizza,green_garden_s,Veggie,Small,1,12,1,12,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
30,01-01-2015,2015,1,January,31-12-1899 15:41:25,Afternoon,76,The Thai Chicken Pizza,thai_ckn_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
31,01-01-2015,2015,1,January,31-12-1899 15:50:18,Afternoon,77,The Mexicana Pizza,mexicana_m,Veggie,Medium,2,16,1,16,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
32,01-01-2015,2015,1,January,31-12-1899 15:53:18,Afternoon,79,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
33,01-01-2015,2015,1,January,31-12-1899 15:54:08,Afternoon,83,The Barbecue Chicken Pizza,bbq_ckn_l,Chicken,Large,3,20.75,1,20.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
34,01-01-2015,2015,1,January,31-12-1899 16:21:21,Afternoon,85,The Greek Pizza,the_greek_s,Classic,Small,1,12,1,12,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
35,01-01-2015,2015,1,January,31-12-1899 16:32:04,Afternoon,86,The Green Garden Pizza,green_garden_m,Veggie,Medium,2,16,1,16,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
36,01-01-2015,2015,1,January,31-12-1899 16:54:09,Afternoon,90,The Barbecue Chicken Pizza,bbq_ckn_m,Chicken,Medium,2,16.75,1,16.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
37,01-01-2015,2015,1,January,31-12-1899 16:56:09,Afternoon,92,The Italian Supreme Pizza,ital_supr_l,Supreme,Large,3,20.75,1,20.75,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
38,01-01-2015,2015,1,January,31-12-1899 17:03:00,Evening,94,The Hawaiian Pizza,hawaiian_s,Classic,Small,1,10.5,1,10.5,"Sliced Ham, Pineapple, Mozzarella Cheese"
39,01-01-2015,2015,1,January,31-12-1899 17:07:23,Evening,96,The Italian Supreme Pizza,ital_supr_l,Supreme,Large,3,20.75,1,20.75,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
40,01-01-2015,2015,1,January,31-12-1899 17:14:36,Evening,97,The Four Cheese Pizza,four_cheese_l,Veggie,Large,3,17.95,1,17.95,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
41,01-01-2015,2015,1,January,31-12-1899 17:15:20,Evening,99,The Four Cheese Pizza,four_cheese_m,Veggie,Medium,2,14.75,1,14.75,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
42,01-01-2015,2015,1,January,31-12-1899 17:28:09,Evening,101,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
43,01-01-2015,2015,1,January,31-12-1899 17:38:34,Evening,105,The Chicken Alfredo Pizza,ckn_alfredo_m,Chicken,Medium,2,16.75,1,16.75,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
44,01-01-2015,2015,1,January,31-12-1899 17:54:20,Evening,108,The Spinach Pesto Pizza,spin_pesto_s,Veggie,Small,1,12.5,1,12.5,"Spinach, Artichokes, Tomatoes, Sun-Dried Tomatoes, Garlic, Pesto Sauce"
45,01-01-2015,2015,1,January,31-12-1899 17:55:48,Evening,109,The Four Cheese Pizza,four_cheese_l,Veggie,Large,3,17.95,1,17.95,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
46,01-01-2015,2015,1,January,31-12-1899 18:25:51,Evening,112,The Chicken Pesto Pizza,ckn_pesto_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
47,01-01-2015,2015,1,January,31-12-1899 18:26:34,Evening,115,The Southwest Chicken Pizza,southw_ckn_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
48,01-01-2015,2015,1,January,31-12-1899 18:26:42,Evening,117,The Chicken Pesto Pizza,ckn_pesto_m,Chicken,Medium,2,16.75,1,16.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
49,01-01-2015,2015,1,January,31-12-1899 18:33:00,Evening,121,The Sicilian Pizza,sicilian_l,Supreme,Large,3,20.25,1,20.25,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
50,01-01-2015,2015,1,January,31-12-1899 18:41:01,Evening,122,The Greek Pizza,the_greek_xl,Classic,XLarge,0,25.5,1,25.5,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
51,01-01-2015,2015,1,January,31-12-1899 18:48:28,Evening,123,The Barbecue Chicken Pizza,bbq_ckn_l,Chicken,Large,3,20.75,1,20.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
52,01-01-2015,2015,1,January,31-12-1899 18:53:02,Evening,125,The Hawaiian Pizza,hawaiian_l,Classic,Large,3,16.5,1,16.5,"Sliced Ham, Pineapple, Mozzarella Cheese"
53,01-01-2015,2015,1,January,31-12-1899 18:54:17,Evening,128,"The Pepperoni, Mushroom, And Peppers Pizza",pep_msh_pep_s,Classic,Small,1,11,1,11,"Pepperoni, Mushrooms, Green Peppers"
54,01-01-2015,2015,1,January,31-12-1899 19:01:45,Evening,130,The Prosciutto And Arugula Pizza,prsc_argla_m,Supreme,Medium,2,16.5,1,16.5,"Prosciutto Di San Daniele, Arugula, Mozzarella Cheese"
55,01-01-2015,2015,1,January,31-12-1899 19:03:19,Evening,132,The Pepper Salami Pizza,peppr_salami_s,Supreme,Small,1,12.5,1,12.5,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
56,01-01-2015,2015,1,January,31-12-1899 19:07:00,Evening,134,The Classic Deluxe Pizza,classic_dlx_m,Classic,Medium,2,16,1,16,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
57,01-01-2015,2015,1,January,31-12-1899 19:10:51,Evening,137,The Classic Deluxe Pizza,classic_dlx_m,Classic,Medium,2,16,1,16,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
58,01-01-2015,2015,1,January,31-12-1899 19:30:40,Evening,138,The Five Cheese Pizza,five_cheese_l,Veggie,Large,3,18.5,1,18.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
59,01-01-2015,2015,1,January,31-12-1899 19:40:08,Evening,140,The Italian Vegetables Pizza,ital_veggie_s,Veggie,Small,1,12.75,1,12.75,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
60,01-01-2015,2015,1,January,31-12-1899 20:05:16,Evening,143,The Chicken Pesto Pizza,ckn_pesto_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
61,01-01-2015,2015,1,January,31-12-1899 20:08:43,Evening,145,The Barbecue Chicken Pizza,bbq_ckn_m,Chicken,Medium,2,16.75,1,16.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
62,01-01-2015,2015,1,January,31-12-1899 20:50:16,Evening,147,The Barbecue Chicken Pizza,bbq_ckn_m,Chicken,Medium,2,16.75,1,16.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
63,01-01-2015,2015,1,January,31-12-1899 20:51:42,Evening,149,"The Pepperoni, Mushroom, And Peppers Pizza",pep_msh_pep_m,Classic,Medium,2,14.5,1,14.5,"Pepperoni, Mushrooms, Green Peppers"
64,01-01-2015,2015,1,January,31-12-1899 20:52:08,Evening,150,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
65,01-01-2015,2015,1,January,31-12-1899 21:16:00,Night,151,"The Pepperoni, Mushroom, And Peppers Pizza",pep_msh_pep_s,Classic,Small,1,11,1,11,"Pepperoni, Mushrooms, Green Peppers"
66,01-01-2015,2015,1,January,31-12-1899 21:47:55,Night,155,The Classic Deluxe Pizza,classic_dlx_m,Classic,Medium,2,16,1,16,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
67,01-01-2015,2015,1,January,31-12-1899 22:03:40,Night,157,The Southwest Chicken Pizza,southw_ckn_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
68,01-01-2015,2015,1,January,31-12-1899 22:07:32,Night,158,The Classic Deluxe Pizza,classic_dlx_m,Classic,Medium,2,16,1,16,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
69,01-01-2015,2015,1,January,31-12-1899 22:12:13,Night,161,The Barbecue Chicken Pizza,bbq_ckn_l,Chicken,Large,3,20.75,1,20.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
70,02-01-2015,2015,1,January,31-12-1899 11:38:51,Morning,162,The Italian Vegetables Pizza,ital_veggie_s,Veggie,Small,1,12.75,1,12.75,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
71,02-01-2015,2015,1,January,31-12-1899 11:40:50,Morning,164,The Thai Chicken Pizza,thai_ckn_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
72,02-01-2015,2015,1,January,31-12-1899 11:57:25,Morning,165,The Spinach And Feta Pizza,spinach_fet_l,Veggie,Large,3,20.25,1,20.25,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
73,02-01-2015,2015,1,January,31-12-1899 11:58:56,Morning,166,The Thai Chicken Pizza,thai_ckn_s,Chicken,Small,1,12.75,1,12.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
74,02-01-2015,2015,1,January,31-12-1899 12:01:12,Afternoon,167,The Five Cheese Pizza,five_cheese_l,Veggie,Large,3,18.5,1,18.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
75,02-01-2015,2015,1,January,31-12-1899 12:10:15,Afternoon,171,The Italian Supreme Pizza,ital_supr_s,Supreme,Small,1,12.5,1,12.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
76,02-01-2015,2015,1,January,31-12-1899 12:21:17,Afternoon,174,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
77,02-01-2015,2015,1,January,31-12-1899 12:22:46,Afternoon,178,The Barbecue Chicken Pizza,bbq_ckn_m,Chicken,Medium,2,16.75,1,16.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
78,02-01-2015,2015,1,January,31-12-1899 12:28:14,Afternoon,180,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
79,02-01-2015,2015,1,January,31-12-1899 12:29:11,Afternoon,186,The Italian Capocollo Pizza,ital_cpcllo_l,Classic,Large,3,20.5,1,20.5,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
80,02-01-2015,2015,1,January,31-12-1899 12:35:38,Afternoon,189,The Pepperoni Pizza,pepperoni_s,Classic,Small,1,9.75,1,9.75,"Mozzarella Cheese, Pepperoni"
81,02-01-2015,2015,1,January,31-12-1899 12:40:01,Afternoon,191,The Thai Chicken Pizza,thai_ckn_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
82,02-01-2015,2015,1,January,31-12-1899 12:45:51,Afternoon,192,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
83,02-01-2015,2015,1,January,31-12-1899 12:53:27,Afternoon,196,The Southwest Chicken Pizza,southw_ckn_s,Chicken,Small,1,12.75,1,12.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
84,02-01-2015,2015,1,January,31-12-1899 13:13:41,Afternoon,197,The Pepperoni Pizza,pepperoni_l,Classic,Large,3,15.25,1,15.25,"Mozzarella Cheese, Pepperoni"
85,02-01-2015,2015,1,January,31-12-1899 13:34:49,Afternoon,198,The Classic Deluxe Pizza,classic_dlx_m,Classic,Medium,2,16,1,16,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
86,02-01-2015,2015,1,January,31-12-1899 13:40:31,Afternoon,202,The Hawaiian Pizza,hawaiian_l,Classic,Large,3,16.5,1,16.5,"Sliced Ham, Pineapple, Mozzarella Cheese"
87,02-01-2015,2015,1,January,31-12-1899 14:01:02,Afternoon,203,The Italian Capocollo Pizza,ital_cpcllo_m,Classic,Medium,2,16,1,16,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
88,02-01-2015,2015,1,January,31-12-1899 14:10:08,Afternoon,207,The Five Cheese Pizza,five_cheese_l,Veggie,Large,3,18.5,1,18.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
89,02-01-2015,2015,1,January,31-12-1899 14:30:19,Afternoon,208,The Soppressata Pizza,soppressata_l,Supreme,Large,3,20.75,1,20.75,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
90,02-01-2015,2015,1,January,31-12-1899 15:08:48,Afternoon,210,The Sicilian Pizza,sicilian_l,Supreme,Large,3,20.25,1,20.25,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
91,02-01-2015,2015,1,January,31-12-1899 15:14:43,Afternoon,212,The Barbecue Chicken Pizza,bbq_ckn_l,Chicken,Large,3,20.75,2,41.5,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
92,02-01-2015,2015,1,January,31-12-1899 15:17:02,Afternoon,215,The Barbecue Chicken Pizza,bbq_ckn_m,Chicken,Medium,2,16.75,1,16.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
93,02-01-2015,2015,1,January,31-12-1899 15:29:31,Afternoon,224,The Sicilian Pizza,sicilian_m,Supreme,Medium,2,16.25,1,16.25,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
94,02-01-2015,2015,1,January,31-12-1899 16:17:16,Afternoon,225,The Italian Capocollo Pizza,ital_cpcllo_m,Classic,Medium,2,16,1,16,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
95,02-01-2015,2015,1,January,31-12-1899 16:18:04,Afternoon,227,The Napolitana Pizza,napolitana_s,Classic,Small,1,12,1,12,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
96,02-01-2015,2015,1,January,31-12-1899 16:21:20,Afternoon,229,The Napolitana Pizza,napolitana_s,Classic,Small,1,12,1,12,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
97,02-01-2015,2015,1,January,31-12-1899 16:45:33,Afternoon,230,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
98,02-01-2015,2015,1,January,31-12-1899 17:18:18,Evening,231,The Classic Deluxe Pizza,classic_dlx_l,Classic,Large,3,20.5,1,20.5,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
99,02-01-2015,2015,1,January,31-12-1899 17:45:42,Evening,233,The Italian Supreme Pizza,ital_supr_l,Supreme,Large,3,20.75,1,20.75,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
100,02-01-2015,2015,1,January,31-12-1899 17:46:17,Evening,234,The Hawaiian Pizza,hawaiian_l,Classic,Large,3,16.5,1,16.5,"Sliced Ham, Pineapple, Mozzarella Cheese"
101,02-01-2015,2015,1,January,31-12-1899 17:51:33,Evening,235,The California Chicken Pizza,cali_ckn_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
102,02-01-2015,2015,1,January,31-12-1899 17:54:04,Evening,239,The Barbecue Chicken Pizza,bbq_ckn_s,Chicken,Small,1,12.75,1,12.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
103,02-01-2015,2015,1,January,31-12-1899 18:02:09,Evening,241,The Spinach Supreme Pizza,spinach_supr_s,Supreme,Small,1,12.5,1,12.5,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
104,02-01-2015,2015,1,January,31-12-1899 18:02:12,Evening,242,The Barbecue Chicken Pizza,bbq_ckn_m,Chicken,Medium,2,16.75,1,16.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
105,02-01-2015,2015,1,January,31-12-1899 18:12:01,Evening,246,The Hawaiian Pizza,hawaiian_s,Classic,Small,1,10.5,2,21,"Sliced Ham, Pineapple, Mozzarella Cheese"
106,02-01-2015,2015,1,January,31-12-1899 18:12:13,Evening,249,The Mexicana Pizza,mexicana_l,Veggie,Large,3,20.25,1,20.25,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
107,02-01-2015,2015,1,January,31-12-1899 18:25:09,Evening,251,The California Chicken Pizza,cali_ckn_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
108,02-01-2015,2015,1,January,31-12-1899 18:25:25,Evening,255,The Classic Deluxe Pizza,classic_dlx_l,Classic,Large,3,20.5,1,20.5,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
109,02-01-2015,2015,1,January,31-12-1899 18:27:50,Evening,258,The Italian Capocollo Pizza,ital_cpcllo_l,Classic,Large,3,20.5,1,20.5,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
110,02-01-2015,2015,1,January,31-12-1899 18:36:19,Evening,262,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
111,02-01-2015,2015,1,January,31-12-1899 18:38:01,Evening,266,The California Chicken Pizza,cali_ckn_m,Chicken,Medium,2,16.75,1,16.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
112,02-01-2015,2015,1,January,31-12-1899 18:41:40,Evening,270,The Pepperoni Pizza,pepperoni_s,Classic,Small,1,9.75,1,9.75,"Mozzarella Cheese, Pepperoni"
113,02-01-2015,2015,1,January,31-12-1899 18:50:21,Evening,271,The California Chicken Pizza,cali_ckn_l,Chicken,Large,3,20.75,1,20.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
114,02-01-2015,2015,1,January,31-12-1899 18:59:32,Evening,274,The Pepperoni Pizza,pepperoni_l,Classic,Large,3,15.25,1,15.25,"Mozzarella Cheese, Pepperoni"
115,02-01-2015,2015,1,January,31-12-1899 19:05:17,Evening,276,The Big Meat Pizza,big_meat_s,Classic,Small,1,12,1,12,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
116,02-01-2015,2015,1,January,31-12-1899 19:18:49,Evening,279,The Five Cheese Pizza,five_cheese_l,Veggie,Large,3,18.5,1,18.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
